column_id,table_name,column_name,semantic_type
1409481,"""area""",name_of_area,Name
4788388,customer_address,ca_street_name,FullText
4782481,supplier,s_comment,FullText
4782460,part,p_mfgr,Identifier
4782479,supplier,s_phone,Contact
4782422,customer,c_name,Identifier
4782473,region,r_name,Category
4782446,nation,n_name,Name
4782443,lineitem,l_shipmode,Category
4782476,supplier,s_name,Identifier
4782438,lineitem,l_linestatus,Boolean
4782442,lineitem,l_shipinstruct,Category
4782427,customer,c_mktsegment,Category
4782461,part,p_brand,Identifier
4782451,orders,o_orderstatus,Category
4782425,customer,c_phone,Contact
4782457,orders,o_comment,FullText
4782464,part,p_container,Category
4782459,part,p_name,FullText
4782428,customer,c_comment,FullText
4782477,supplier,s_address,Semistructured
4782437,lineitem,l_returnflag,Category
4782423,customer,c_address,Location
4782454,orders,o_orderpriority,Category
4782462,part,p_type,Category
968333,item,i_color,Category
968408,customer,c_first_name,Name
968215,time_dim,t_meal_time,Category
968365,date_dim,d_quarter_name,DateTime
968292,ship_mode,sm_carrier,Name
968305,promotion,p_channel_dmail,Boolean
968201,warehouse,w_county,Location
968279,store,s_street_type,Category
968282,store,s_county,Location
968379,customer_demographics,cd_gender,Category
968202,warehouse,w_state,Location
968108,web_site,web_company_name,FullText
968278,store,s_street_name,Location
968337,item,i_product_name,Test
968390,customer_address,ca_street_name,Location
968480,catalog_page,cp_catalog_page_id,Identifier
968489,call_center,cc_call_center_id,Identifier
968280,store,s_suite_number,Identifier
968283,store,s_state,Location
968320,item,i_item_desc,FullText
968306,promotion,p_channel_email,Boolean
968200,warehouse,w_city,Location
968204,warehouse,w_country,Location
968347,household_demographics,hd_buy_potential,Category
968290,ship_mode,sm_type,Category
968381,customer_demographics,cd_education_status,Category
968399,customer_address,ca_location_type,Category
968394,customer_address,ca_county,Location
968324,item,i_brand,Category
968095,web_site,web_site_id,Identifier
968284,store,s_zip,Location
968409,customer,c_last_name,Name
968397,customer_address,ca_country,Location
968277,store,s_street_number,Numeric
968276,store,s_company_name,Name
968308,promotion,p_channel_tv,Boolean
968281,store,s_city,Location
968396,customer_address,ca_zip,Location
968395,customer_address,ca_state,Location
968410,customer,c_preferred_cust_flag,Boolean
968264,store,s_store_name,Name
968389,customer_address,ca_street_number,Numeric
968391,customer_address,ca_street_type,Category
968499,call_center,cc_manager,Name
968311,promotion,p_channel_event,Test
968364,date_dim,d_day_name,DateTime
968407,customer,c_salutation,Category
968392,customer_address,ca_suite_number,Identifier
968317,item,i_item_id,Identifier
968328,item,i_category,Category
968331,item,i_size,Category
968194,warehouse,w_warehouse_name,FullText
968513,call_center,cc_county,Location
968326,item,i_class,Category
968383,customer_demographics,cd_credit_rating,Category
968260,store,s_store_id,Identifier
968416,customer,c_email_address,Contact
968330,item,i_manufact,Name
968380,customer_demographics,cd_marital_status,Category
968098,web_site,web_name,Name
968494,call_center,cc_name,Name
968334,item,i_units,Category
968393,customer_address,ca_city,Location
968401,customer,c_customer_id,Identifier
968414,customer,c_birth_country,Location
968296,reason,r_reason_desc,FullText
4782498,users,Location,Location
4782491,votetypes,Name,Name
4782547,posthistory,UserDisplayName,Name
4782557,tags,TagName,Name
4782526,posts,Tags,Semistructured
4782518,posts,Body,FullText
4782497,users,WebsiteUrl,URL
4782485,linktypes,Name,Name
4782548,posthistory,Comment,FullText
4782520,posts,OwnerDisplayName,Name
4782489,closereasontypes,Name,Name
4782483,posthistorytypes,Name,Name
4782522,posts,LastEditorDisplayName,Name
4782549,posthistory,Text,FullText
4782525,posts,Title,Name
4782532,posts,ContentLicense,Category
4782544,posthistory,RevisionGUID,Identifier
4782550,posthistory,ContentLicense,Category
4782499,users,AboutMe,FullText
4782540,comments,ContentLicense,Category
4782536,comments,Text,FullText
4782495,users,DisplayName,Name
4782538,comments,UserDisplayName,Name
4782507,badges,Name,Category
4782487,posttypes,Name,Category
4782627,supplier,s_phone,Contact
4782614,part,p_comment,FullText
4782625,supplier,s_address,Semistructured
4782592,lineitem,l_comment,FullText
4782570,customer,c_name,Identifier
4782576,customer,c_comment,FullText
4782612,part,p_container,Category
4782596,nation,n_comment,FullText
4782571,customer,c_address,Identifier
4782621,region,r_name,Category
4782607,part,p_name,FullText
4782603,orders,o_clerk,Identifier
4782585,lineitem,l_returnflag,Category
4782629,supplier,s_comment,FullText
4782605,orders,o_comment,FullText
4782575,customer,c_mktsegment,Category
4782586,lineitem,l_linestatus,Boolean
4782594,nation,n_name,Name
4782590,lineitem,l_shipinstruct,Category
4782573,customer,c_phone,Contact
4782591,lineitem,l_shipmode,Category
4782599,orders,o_orderstatus,Category
4782608,part,p_mfgr,Category
4782602,orders,o_orderpriority,Category
4782624,supplier,s_name,Identifier
4782610,part,p_type,Category
4782609,part,p_brand,Category
4782619,partsupp,ps_comment,FullText
4782622,region,r_comment,FullText
968850,item,i_item_id,Identifier
968866,item,i_color,Category
968828,reason,r_reason_id,Identifier
968934,customer,c_customer_id,Identifier
968947,customer,c_birth_country,Location
968923,customer_address,ca_street_name,FullText
968863,item,i_manufact,Semistructured
968865,item,i_formulation,Identifier
968949,customer,c_email_address,Email
968829,reason,r_reason_desc,FullText
968932,customer_address,ca_location_type,Category
968857,item,i_brand,Name
968921,customer_address,ca_address_id,Identifier
969019,catalog_page,cp_description,FullText
968824,ship_mode,sm_code,Category
969045,call_center,cc_city,Location
968823,ship_mode,sm_type,Category
968730,warehouse,w_street_name,Location
968648,web_site,web_state,Category
968899,date_dim,d_holiday,Boolean
968906,date_dim,d_current_day,Boolean
968880,household_demographics,hd_buy_potential,Category
968712,web_page,wp_web_page_id,Identifier
968801,store,s_manager,Name
968818,store,s_country,Location
968914,customer_demographics,cd_education_status,Category
968940,customer,c_salutation,Name
968816,store,s_state,Location
968807,store,s_division_name,Category
968735,warehouse,w_state,Location
968908,date_dim,d_current_month,Boolean
968720,web_page,wp_type,Category
969013,catalog_page,cp_catalog_page_id,Identifier
968929,customer_address,ca_zip,Location
968928,customer_address,ca_state,Location
968717,web_page,wp_autogen_flag,Boolean
968900,date_dim,d_weekend,Boolean
968793,store,s_store_id,Identifier
968870,item,i_product_name,FullText
968926,customer_address,ca_city,Location
968628,web_site,web_site_id,Identifier
968797,store,s_store_name,FullText
968634,web_site,web_class,Test
968729,warehouse,w_street_number,Numeric
968897,date_dim,d_day_name,DateTime
968861,item,i_category,Category
968864,item,i_size,Category
968941,customer,c_first_name,Name
968853,item,i_item_desc,FullText
968817,store,s_zip,Location
968839,promotion,p_channel_email,Boolean
969038,call_center,cc_division_name,Category
968727,warehouse,w_warehouse_name,Name
968942,customer,c_last_name,Name
968924,customer_address,ca_street_type,Category
968837,promotion,p_promo_name,Name
968913,customer_demographics,cd_marital_status,Category
968825,ship_mode,sm_carrier,Category
968731,warehouse,w_street_type,Category
968848,promotion,p_discount_active,Boolean
968927,customer_address,ca_county,Location
968859,item,i_class,Category
968804,store,s_market_desc,FullText
969016,catalog_page,cp_department,Category
969020,catalog_page,cp_type,Category
968641,web_site,web_company_name,Name
968822,ship_mode,sm_ship_mode_id,Identifier
968733,warehouse,w_city,Location
968814,store,s_city,Location
968884,date_dim,d_date_id,Identifier
969036,call_center,cc_market_manager,Name
968812,store,s_street_type,Category
968930,customer_address,ca_country,Location
969022,call_center,cc_call_center_id,Identifier
969027,call_center,cc_name,Name
968631,web_site,web_name,Name
968910,date_dim,d_current_year,Boolean
968736,warehouse,w_zip,Location
968846,promotion,p_channel_details,FullText
968925,customer_address,ca_suite_number,Location
968838,promotion,p_channel_dmail,Boolean
968916,customer_demographics,cd_credit_rating,Category
968719,web_page,wp_url,URL
969047,call_center,cc_state,Location
968650,web_site,web_country,Location
969032,call_center,cc_manager,Name
968810,store,s_street_number,Numeric
968726,warehouse,w_warehouse_id,Identifier
968737,warehouse,w_country,Location
968646,web_site,web_city,Location
968922,customer_address,ca_street_number,Numeric
968831,promotion,p_promo_id,Identifier
968638,web_site,web_mkt_desc,FullText
968811,store,s_street_name,Location
968912,customer_demographics,cd_gender,Category
968943,customer,c_preferred_cust_flag,Boolean
968536,person_info,info,FullText
968562,movie_info,info,FullText
968617,aka_title,note,FullText
968575,keyword,phonetic_code,Identifier
968588,company_name,country_code,Identifier
968577,info_type,info,Category
968537,person_info,note,FullText
968572,kind_type,kind,Category
968613,aka_title,phonetic_code,Identifier
968539,name,name,Name
968563,movie_info,note,FullText
968540,name,imdb_index,Identifier
968610,aka_title,imdb_index,Identifier
968621,aka_name,name,Name
968570,link_type,link,Category
968568,movie_companies,note,FullText
968609,aka_title,title,Name
968587,company_name,name,Name
968623,aka_name,name_pcode_cf,Identifier
968597,char_name,name_pcode_nf,Identifier
968626,aka_name,md5sum,Identifier
968520,title,title,Name
968624,aka_name,name_pcode_nf,Identifier
968625,aka_name,surname_pcode,Identifier
968543,name,name_pcode_cf,Identifier
968542,name,gender,Category
968557,movie_info_idx,info,Numeric
968544,name,name_pcode_nf,Identifier
968585,company_type,kind,Category
968521,title,imdb_index,Category
968574,keyword,keyword,FullText
968594,char_name,name,Name
968590,company_name,name_pcode_nf,Identifier
968592,company_name,md5sum,Identifier
968591,company_name,name_pcode_sf,Identifier
968604,cast_info,note,FullText
968532,role_type,role,Category
968579,comp_cast_type,kind,Category
2516425,command,help,FullText
2516423,command,name,Name
2516339,account,sha_pass_hash,Identifier
2516338,account,username,Identifier
2519140,`customer`,first_name,Name
2519142,`customer`,email,Contact
2519141,`customer`,last_name,Name
2519974,user_,userid,Identifier
2520558,identifier,id,Identifier
2519978,user_,password_,Test
2520602,workflow_action_mappings,id,Identifier
2520605,workflow_action_mappings,scheme_or_content_type,Identifier
2520559,identifier,parent_path,Identifier
2521010,log_mapper,log_name,FullText
2520604,workflow_action_mappings,workflow_action,Identifier
2520603,workflow_action_mappings,action,Category
2520562,identifier,asset_type,Category
2520560,identifier,asset_name,Name
2519975,user_,companyid,Test
2519988,user_,emailaddress,Contact
2520004,user_,greeting,FullText
2519927,counter,name,Identifier
2521011,log_mapper,description,FullText
2520561,identifier,host_inode,Identifier
2520001,user_,skinid,Numeric
2522356,nhan_vien,email,Contact
2522322,`orders`,shipping_address,Location
2522320,`orders`,status,Category
2522384,dich_vu_di_kem,ten_dich_vu_di_kem,Name
2522335,`products`,description,FullText
2522362,loai_dich_vu,ten_loai_dich_vu,Name
2522340,suppliers,address,Location
2522303,customers,address,Location
2522321,`orders`,description,FullText
2522337,suppliers,name,Name
2522308,employees,last_name,Name
2522298,categories,description,FullText
2522339,suppliers,phone_number,Contact
2522300,customers,first_name,Name
2522348,nhan_vien,ho_ten,Name
2522302,customers,phone_number,Contact
2522307,employees,first_name,Name
2522364,dich_vu,ten_dich_vu,Category
2522353,nhan_vien,so_cmnd,Identifier
2522324,`orders`,payment_type,Category
2522297,categories,name,Name
2522323,`orders`,shipping_oty,Location
2522387,dich_vu_di_kem,trang_thai_kha_dung,Category
2522355,nhan_vien,sdt,Contact
2522357,nhan_vien,dia_chi,Location
2522328,`products`,name,Name
2522329,`products`,image_url,URL
2522338,suppliers,email,Contact
2522301,customers,last_name,Name
2522354,nhan_vien,luong,Numeric
2522304,customers,email,Contact
2523419,student,address,Location
2523420,student,phone,Contact
2523418,student,studentname,Name
2523414,class,classname,Category
2523424,subject,subname,Identifier
2524850,app,slug,URL
2524854,app,apikey,Identifier
2524720,invite,email,Contact
2524817,membergroup,slug,URL
2524782,eventsession,hashtag,FullText
2524819,membergroup,hashtag,FullText
2524851,app,description,FullText
2524780,eventsession,title,FullText
2524719,invite,token,Identifier
2524887,databaseversion,value,Identifier
2524816,membergroup,name,Name
2524824,member,email,Contact
2524849,app,name,Name
2524855,app,secret,Identifier
2524781,eventsession,description,FullText
2524818,membergroup,description,FullText
2525652,employee,gender,Category
2525650,employee,first_name,Name
2525651,employee,last_name,Name
2525653,employee,email,Contact
2525654,employee,password,Boolean
2525840,`users`,user_name,Name
2525809,`ticket_details`,color_yarn,Category
2525814,`ticket_details`,so_pil,Semistructured
2525815,`ticket_details`,item,FullText
2525784,tickets,description,FullText
2525820,`ticket_details`,qty,Numeric
2525813,`ticket_details`,so_line,Numeric
2525832,ticket_media,is_usable,Boolean
2525831,ticket_media,comment,FullText
2525786,tickets,forward_default,Category
2525743,`employees`,dept_name,Category
2525803,tickets,update_date,DateTime
2525748,`employees`,email,Contact
2525790,tickets,capa_user,Identifier
2525819,`ticket_details`,roll,Numeric
2525798,tickets,confirm,Boolean
2525818,`ticket_details`,lot,Numeric
2525829,ticket_media,media_file,URL
2525828,ticket_media,media_name,Identifier
2525841,`users`,password,Semistructured
2525782,tickets,type_ncr,Category
2525795,tickets,status,Category
2525741,`employees`,employee_name,Name
2525808,`ticket_details`,lot_yarn,Identifier
2525801,tickets,create_date,DateTime
2525810,`ticket_details`,type_yarn,Category
2525794,tickets,verification_user,Identifier
2525747,`employees`,address,Location
2525792,tickets,verification,FullText
2525785,tickets,send_to,Category
2525799,tickets,is_usable,Boolean
2525817,`ticket_details`,color,Category
2525835,ticket_media,update_user,Identifier
2525797,tickets,comment,FullText
2525793,tickets,verification_date,DateTime
2525745,`employees`,div_name,Category
2525812,`ticket_details`,so_sap,Identifier
2525833,ticket_media,create_user,Identifier
2525834,ticket_media,create_date,DateTime
2525789,tickets,preventive_action,FullText
2525811,`ticket_details`,supplier_yarn,Name
2525787,tickets,send_ncr,Category
2525816,`ticket_details`,process,Semistructured
2525788,tickets,corrective_action,FullText
2525749,`employees`,telephone,Test
2525807,`ticket_details`,item_ticket,Category
2525791,tickets,capa_date,DateTime
2525796,tickets,validation_date,DateTime
2525746,`employees`,position,Category
2525843,`users`,is_usable,Boolean
2525780,tickets,ticket_type,Category
2525899,pizzas,name,Name
2525900,pizzas,type,Category
2526262,literature,title,Name
2526260,publishers,name,Name
2526257,authors,name,Name
2526258,authors,surname,Name
2526337,history,date,DateTime
2526335,history,source,Location
2526332,history,username,Contact
2526308,admin,username,Contact
2526338,history,time,DateTime
2526336,history,dest,Location
2526334,history,flightname,Name
2526339,history,type,Category
2526309,admin,password,Semistructured
2526654,activities,activityname,Name
2527219,contract,description,FullText
2527221,contract,hunter_id,Identifier
2527222,contract,contractor_id,Identifier
2527858,users,username,Name
2527860,users,usertype,Category
2527859,users,password,FullText
2528176,register_user,email,Contact
2528154,customer,address,Location
2528152,customer,phonenumber,PhoneNumber
2528168,project,title,Name
2528156,employee,name,Name
2528174,register_user,username,Name
2528153,customer,email,Email
2528157,employee,phonenumber,PhoneNumber
2528151,customer,name,Name
2528158,employee,email,Email
2528160,employee,address,Location
2528324,users,password,Test
2528322,users,firstname,Name
2528323,users,username,Name
2528531,customers,address,Location
2528530,customers,last_name,Name
2528532,customers,billing_info,Category
2528550,customer,billing_info,Numeric
2528537,tickets,channel_purchase,FullText
2528548,customer,last_name,Name
2528547,customer,first_name,Name
2528542,movies,channel_purchase,Category
2528549,customer,address,Location
2528529,customers,first_name,Name
2528712,tickets,fid,Identifier
2528719,follows,date,DateTime
2528707,has,fid,Numeric
2528694,airport,a_name,Name
2528699,routes,source,Location
2528726,serve,eid,Numeric
2528703,passengers,name,Name
2528706,has,aid,Identifier
2528696,manager,username,Name
2528717,follows,fid,Identifier
2528722,employees,name,Name
2528713,flights,fid,Identifier
2528723,employees,address,Location
2528700,routes,destination,Location
2528697,manager,password,Semistructured
2528715,flights,rating,Numeric
2528718,follows,time,DateTime
2528705,passengers,fid,Identifier
2528709,tickets,rid,Identifier
2528721,employees,eid,Identifier
2528711,tickets,price,Numeric
2528710,tickets,pid,Identifier
2528724,employees,salary,Numeric
2528698,routes,rid,Identifier
2528720,follows,price,Numeric
2528714,flights,capacity,Numeric
2528704,passengers,address,Location
2528695,airport,a_add,Location
2528702,passengers,pid,Identifier
2528725,employees,aid,Identifier
2528708,tickets,tid,Identifier
2528716,follows,rid,Identifier
2528727,serve,pid,Identifier
2528693,airport,a_id,Identifier
2528701,routes,direct,Boolean
2528728,serve,rating,Numeric
2529721,equipes,couleur,Category
2529722,equipes,directeur,Name
2529724,coureurs,nom,Name
2529725,coureurs,equipe,Identifier
2529720,equipes,nom,Name
